track_name,track_duration,track_listeners,track_mbid,track_url,streamable.#text,streamable.fulltrack,artist_name,artist_mbid,artist_url,rank,chart_country,load_time
Sienna,224,66290,f3db7473-3a61-4053-a7ce-a8fe29dbe5fa,https://www.last.fm/music/The+Mar%C3%ADas/_/Sienna,0,0,The Marías,7a3970c9-ecd8-4eee-a267-4d8c77d97ff3,https://www.last.fm/music/The+Mar%C3%ADas,0,United States,2025-11-14 09:45:04.772489
Dracula,205,61245,5b1c893a-16da-4e3d-b9b7-6cc57afc360c,https://www.last.fm/music/Tame+Impala/_/Dracula,0,0,Tame Impala,63aa26c3-d59b-4da4-84ac-716b54f1ef4d,https://www.last.fm/music/Tame+Impala,1,United States,2025-11-14 09:45:04.772489
No One Noticed,236,58739,d13a634b-9f69-4256-9415-b7e95aac101d,https://www.last.fm/music/The+Mar%C3%ADas/_/No+One+Noticed,0,0,The Marías,7a3970c9-ecd8-4eee-a267-4d8c77d97ff3,https://www.last.fm/music/The+Mar%C3%ADas,2,United States,2025-11-14 09:45:04.772489
Creep,235,57227,,https://www.last.fm/music/Radiohead/_/Creep,0,0,Radiohead,a74b1b7f-71a5-4011-9441-d0b5e4122711,https://www.last.fm/music/Radiohead,3,United States,2025-11-14 09:45:04.772489
Let Down,337,51684,9e3e014f-14d1-47da-9712-0dc1dfe00421,https://www.last.fm/music/Radiohead/_/Let+Down,0,0,Radiohead,a74b1b7f-71a5-4011-9441-d0b5e4122711,https://www.last.fm/music/Radiohead,4,United States,2025-11-14 09:45:04.772489
505,305,50592,1025dd60-a781-4f30-8b12-2ab8bdef509c,https://www.last.fm/music/Arctic+Monkeys/_/505,0,0,Arctic Monkeys,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,https://www.last.fm/music/Arctic+Monkeys,5,United States,2025-11-14 09:45:04.772489
Sweater Weather,240,49561,c57fc620-9ca2-40be-95ec-2c498a2151a8,https://www.last.fm/music/The+Neighbourhood/_/Sweater+Weather,0,0,The Neighbourhood,53b06622-ec51-4924-a554-58b0affde6b5,https://www.last.fm/music/The+Neighbourhood,6,United States,2025-11-14 09:45:04.772489
Tears,160,48672,48f73745-0235-4244-9610-82f506fb40a7,https://www.last.fm/music/Sabrina+Carpenter/_/Tears,0,0,Sabrina Carpenter,1882fe91-cdd9-49c9-9956-8e06a3810bd4,https://www.last.fm/music/Sabrina+Carpenter,7,United States,2025-11-14 09:45:04.772489
Past Won't Leave My Bed,166,47559,455e9af8-3ce0-466d-8f80-3d586363d71b,https://www.last.fm/music/Joji/_/Past+Won%27t+Leave+My+Bed,0,0,Joji,74922d42-c3ec-4f7d-8a24-20da6eda6ba6,https://www.last.fm/music/Joji,8,United States,2025-11-14 09:45:04.772489
back to friends,199,46403,e374d8c3-da4b-42ce-84dd-26f7236907c3,https://www.last.fm/music/sombr/_/back+to+friends,0,0,sombr,502cf908-9921-48bc-bf0e-265c881c0156,https://www.last.fm/music/sombr,9,United States,2025-11-14 09:45:04.772489
PIXELATED KISSES,110,46358,55954136-95c6-4b12-977a-69da27c6a479,https://www.last.fm/music/Joji/_/PIXELATED+KISSES,0,0,Joji,74922d42-c3ec-4f7d-8a24-20da6eda6ba6,https://www.last.fm/music/Joji,10,United States,2025-11-14 09:45:04.772489
The Fate of Ophelia,226,46342,8670a098-6ab7-4e18-8ac0-0ec7259151f8,https://www.last.fm/music/Taylor+Swift/_/The+Fate+of+Ophelia,0,0,Taylor Swift,20244d07-534f-4eff-b4d4-930878889970,https://www.last.fm/music/Taylor+Swift,11,United States,2025-11-14 09:45:04.772489
SUGAR ON MY TONGUE,153,46234,49b3a5c3-4fda-4947-9dd8-f7d5713b2391,"https://www.last.fm/music/Tyler,+The+Creator/_/SUGAR+ON+MY+TONGUE",0,0,"Tyler, The Creator",f6beac20-5dfe-4d1f-ae02-0b0a740aafd6,"https://www.last.fm/music/Tyler,+The+Creator",12,United States,2025-11-14 09:45:04.772489
The Less I Know the Better,217,44802,78be434c-0908-458f-9693-f16cdebb68ef,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better,0,0,Tame Impala,63aa26c3-d59b-4da4-84ac-716b54f1ef4d,https://www.last.fm/music/Tame+Impala,13,United States,2025-11-14 09:45:04.772489
Lovers Rock,213,44573,0a12c26b-c3be-4c9e-a963-a8719f7f2dcc,https://www.last.fm/music/TV+Girl/_/Lovers+Rock,0,0,TV Girl,38f0c7ac-46eb-49ca-b3ab-c785ccd05a60,https://www.last.fm/music/TV+Girl,14,United States,2025-11-14 09:45:04.772489
"Lover, You Should've Come Over",403,43900,,"https://www.last.fm/music/Jeff+Buckley/_/Lover,+You+Should%27ve+Come+Over",0,0,Jeff Buckley,e6e879c0-3d56-4f12-b3c5-3ce459661a8e,https://www.last.fm/music/Jeff+Buckley,15,United States,2025-11-14 09:45:04.772489
All I Need,280,43229,79067ee1-807a-4e36-a664-5c160df6de58,https://www.last.fm/music/Radiohead/_/All+I+Need,0,0,Radiohead,a74b1b7f-71a5-4011-9441-d0b5e4122711,https://www.last.fm/music/Radiohead,16,United States,2025-11-14 09:45:04.772489
House Tour,169,42926,6095702d-b48f-46a9-80a3-4f5723fe3b28,https://www.last.fm/music/Sabrina+Carpenter/_/House+Tour,0,0,Sabrina Carpenter,1882fe91-cdd9-49c9-9956-8e06a3810bd4,https://www.last.fm/music/Sabrina+Carpenter,17,United States,2025-11-14 09:45:04.772489
